file,token,ident,hw_index,sw_lo,sw_hi,f0_lo,f0_hi,events,entities,bytes,status,ext_raw
vblockbm190-238.yaml,VBlockBM190-238,0x300E,,,,,,111,108,38619,ok,
vblockbm36-66.yaml,VBlockBM36-66,0x300A,,,,,,106,103,37271,ok,
vblockbm366-437.yaml,VBlockBM366-437,0x300F,,,,,,112,109,38899,ok,
vblockbm55-80.yaml,VBlockBM55-80,0x300B,,,,,,106,103,37271,ok,
vblockbm98-150.yaml,VBlockBM98-150,0x300C,,,,,,106,103,37273,ok,
vblockem140-207.yaml,VBlockEM140-207,0x3004,,,,,,106,103,37275,ok,
vblockem18-36.yaml,VBlockEM18-36,0x3001,,,,,,106,103,37271,ok,
vblockem199-263.yaml,VBlockEM199-263,0x3005,,,,,,111,108,38619,ok,
vblockem199-293.yaml,VBlockEM199-293,0x3006,,,,,,111,108,38619,ok,
vblockem20-39.yaml,VBlockEM20-39,0x3010,,,,,,106,103,37271,ok,
vblockem20-39_18.yaml,VBlockEM20-39_18,0x3012,,,,,,108,104,37557,ok,
vblockem238-363.yaml,VBlockEM238-363,0x3007,,,,,,109,106,38099,ok,
vblockem363-498.yaml,VBlockEM363-498,0x3008,,,,,,112,109,38899,ok,
vblockem401-549.yaml,VBlockEM401-549,0x3009,,,,,,112,109,38899,ok,
vblockem5.yaml,VBlockEM5,0x3011,,,,,,107,104,37517,ok,
vblockem50-81.yaml,VBlockEM50-81,0x3002,,,,,,106,103,37271,ok,
vblockem530-660.yaml,VBlockEM530-660,0x3015,,,,,,112,109,38899,ok,
vblockem6-15.yaml,VBlockEM6-15,0x3013,,,,,,107,104,37523,ok,
vblockem70-115.yaml,VBlockEM70-115,0x3003,,,,,,106,103,37273,ok,
vblockem9-20.yaml,VBlockEM9-20,0x3014,,,,,,107,104,37523,ok,
,VCOM100_DEKM_R1,0x2081,,,,,,90,1,,skipped: no Optolink-reachable datapoints,37343530353337
,VCOM100_DEKM_R1_EXP,0x2081,,,,,,90,1,,skipped: no Optolink-reachable datapoints,37343135333233
,VCOM100_DEKM_R2,0x2081,,,,,,94,1,,skipped: no Optolink-reachable datapoints,37313432303537
,VCOM100_DEKM_R3,0x2081,,,,,,91,1,,skipped: no Optolink-reachable datapoints,37313738313838
,VCOM300_DEKF_R2,0x2089,,,,,,623,1,,skipped: no Optolink-reachable datapoints,37343530353334
,VCOM300_ETCPU,0x2089,,,,,,623,1,,skipped: no Optolink-reachable datapoints,37343035313131
,VCOM300_ETCPU2,0x2089,,,,,,623,1,,skipped: no Optolink-reachable datapoints,37383138383434
,VCOM300_ETCPU3,0x2089,,,,,,623,1,,skipped: no Optolink-reachable datapoints,37343135323238
,VCOM300_ETCPU4,0x2089,,,,,,623,1,,skipped: no Optolink-reachable datapoints,37313738313838
,VCOM300_X_Marktmanager,0x0701,,,,,,118,1,,skipped: no Optolink-reachable datapoints,
vcaldens.yaml,VCaldens,0x20C9,1,130,149,,,9,15,7555,ok,0182
,VCaldens_HO1,0x20CB,1,130,149,,,5,1,,skipped: no Optolink-reachable datapoints,0182
vdenshc1.yaml,VDensHC1,0x20C0,1,0,3,,,471,326,111614,ok,0100
vdenshc1_4.yaml,VDensHC1_4,0x20C0,1,4,159,,,429,293,100381,ok,0104
vdenshc2.yaml,VDensHC2,0x20C1,1,0,3,,,440,342,111138,ok,0100
vdenshc2_4.yaml,VDensHC2_4,0x20C1,1,4,159,,,407,318,102848,ok,0104
vdensho1.yaml,VDensHO1,0x20C2,1,0,3,,,581,451,147730,ok,0100
vdensho1_4.yaml,VDensHO1_4,0x20C2,1,4,159,,,560,444,145180,ok,0104
vpendhc1.yaml,VPendHC1,0x20C3,1,0,3,,,450,310,107088,ok,0100
vpendhc1_4.yaml,VPendHC1_4,0x20C3,1,4,19,,,430,294,101101,ok,0104
vpendhc1_40.yaml,VPendHC1_40,0x20C3,1,40,159,,,527,380,128777,ok,0128
vpendhc2.yaml,VPendHC2,0x20C4,1,0,3,,,439,341,110547,ok,0100
vpendhc2_4.yaml,VPendHC2_4,0x20C4,1,4,19,,,404,316,102247,ok,0104
vpendhc2_40.yaml,VPendHC2_40,0x20C4,1,40,159,,,502,403,130215,ok,0128
vpendho1.yaml,VPendHO1,0x20C5,1,0,3,,,581,451,147671,ok,0100
vpendho1_4.yaml,VPendHO1_4,0x20C5,1,4,39,,,567,445,145487,ok,0104
vpendho1_40.yaml,VPendHO1_40,0x20C5,1,40,159,,,767,639,208350,ok,0128
vplushc1.yaml,VPlusHC1,0x20C6,1,0,3,,,442,325,111098,ok,0100
vplushc1_130.yaml,VPlusHC1_130,0x20C6,1,130,149,,,16,22,10362,ok,0182
vplushc1_20.yaml,VPlusHC1_20,0x20C6,1,20,39,,,409,302,102999,ok,0114
vplushc1_4.yaml,VPlusHC1_4,0x20C6,1,4,19,,,406,300,102710,ok,0104
vplushc1_40.yaml,VPlusHC1_40,0x20C6,1,40,129,,,502,384,129953,ok,0128
vplushc2.yaml,VPlusHC2,0x20C7,1,0,3,,,417,347,112201,ok,0100
vplushc2_4.yaml,VPlusHC2_4,0x20C7,1,4,19,,,355,299,97959,ok,0104
vplushc2_40.yaml,VPlusHC2_40,0x20C7,1,40,159,,,476,406,131043,ok,0128
vplusho1.yaml,VPlusHO1,0x20C8,1,0,3,,,558,457,149281,ok,0100
vplusho1_20.yaml,VPlusHO1_20,0x20C8,1,20,39,,,542,454,147817,ok,0114
vplusho1_4.yaml,VPlusHO1_4,0x20C8,1,4,19,,,536,450,146819,ok,0104
vplusho1_40.yaml,VPlusHO1_40,0x20C8,1,40,159,,,741,642,208997,ok,0128
vscothc1.yaml,VScotHC1,0x20C9,1,0,3,,,465,320,109703,ok,0100
vscothc1_20.yaml,VScotHC1_20,0x20C9,1,20,39,,,435,298,101982,ok,0114
vscothc1_200.yaml,VScotHC1_200,0x20C9,1,200,255,0,9,535,388,128211,ok,01C8
vscothc1_200_10.yaml,VScotHC1_200_10,0x20C9,1,200,255,16,25,535,388,131493,ok,01C8
vscothc1_200_30.yaml,VScotHC1_200_30,0x20C9,1,200,255,48,57,525,380,128999,ok,01C8
vscothc1_4.yaml,VScotHC1_4,0x20C9,1,4,19,,,431,295,101464,ok,0104
vscothc1_40.yaml,VScotHC1_40,0x20C9,1,40,89,,,527,380,128940,ok,0128
vscothc1_90.yaml,VScotHC1_90,0x20C9,1,90,129,,,526,380,128940,ok,015A
vscothc2.yaml,VScotHC2,0x20CA,1,0,3,,,439,341,110756,ok,0100
vscothc2_200_11.yaml,VScotHC2_200_11,0x20CA,1,200,255,17,25,538,403,134323,ok,01C8
vscothc2_4.yaml,VScotHC2_4,0x20CA,1,4,19,,,405,317,102682,ok,0104
vscothc2_40.yaml,VScotHC2_40,0x20CA,1,40,159,,,501,402,130102,ok,0128
vscotho1.yaml,VScotHO1,0x20CB,1,0,3,,,581,451,147692,ok,0100
vscotho1_20.yaml,VScotHO1_20,0x20CB,1,20,39,,,566,449,146400,ok,0114
vscotho1_200.yaml,VScotHO1_200,0x20CB,1,200,255,0,0,945,777,255571,ok,01C8
vscotho1_200_01.yaml,VScotHO1_200_01,0x20CB,1,200,255,1,9,1058,852,288387,ok,01C8
vscotho1_200_10.yaml,VScotHO1_200_10,0x20CB,1,200,255,16,16,1030,726,235869,ok,01C8
vscotho1_200_11.yaml,VScotHO1_200_11,0x20CB,1,200,255,17,25,1062,734,240903,ok,01C8
vscotho1_200_20.yaml,VScotHO1_200_20,0x20CB,1,200,255,32,41,860,718,233949,ok,01C8
vscotho1_200_30.yaml,VScotHO1_200_30,0x20CB,1,200,255,48,57,859,718,233949,ok,01C8
vscotho1_4.yaml,VScotHO1_4,0x20CB,1,4,19,,,561,445,145508,ok,0104
vscotho1_40.yaml,VScotHO1_40,0x20CB,1,40,69,,,766,636,207490,ok,0128
vscotho1_70.yaml,VScotHO1_70,0x20CB,1,70,71,,,824,684,222859,ok,0146
vscotho1_72.yaml,VScotHO1_72,0x20CB,1,72,89,,,853,710,230952,ok,0148
vscotho1_90.yaml,VScotHO1_90,0x20CB,1,90,129,,,848,706,229997,ok,015A
vsorp.yaml,VSorp,0x20CB,1,150,199,,,915,745,242295,ok,0196
virtualhydrauliccalibration.yaml,VirtualHydraulicCalibration,0xFFFF,,,,,,5,5,2939,ok,
vitocom100_lan.yaml,Vitocom100_LAN,0x208D,,,,,,11,4,2380,ok,
vitocom200_lan.yaml,Vitocom200_LAN,0x208C,,,,,,421,46,24560,ok,
vitocom200_lan_gp.yaml,Vitocom200_LAN_GP,0x208E,,,,,,45,14,7633,ok,
vitocom300.yaml,Vitocom300,0x208A,,,,,,621,110,37499,ok,
vitocom300_10.yaml,Vitocom300_10,0x208A,1,10,15,,,576,62,25665,ok,010A
vitocom300_lan.yaml,Vitocom300_LAN,0x208A,1,16,47,,,989,55,28359,ok,0110
vitocom300_lan_gp_analog.yaml,Vitocom300_LAN_GP_Analog,0x208F,,,,,,389,18,8932,ok,
vitogate200eib.yaml,Vitogate200EIB,,,,,,,5,4,2052,ok,
vitogate200knx.yaml,Vitogate200KNX,0x0820,,,,,,7,6,2541,ok,
vitogate300bn.yaml,Vitogate300BN,0x0830,,,,,,7,13,7014,ok,
vitotwingw_bati.yaml,VitotwinGW_BATI,0x0810,1,0,1,,,158,156,70829,ok,0100
vitotwingw_bati_02.yaml,VitotwinGW_BATI_02,0x0810,1,2,2,,,160,148,65748,ok,0102
vitotwingw_bati_03.yaml,VitotwinGW_BATI_03,0x0810,1,3,255,,,160,148,65813,ok,0103
vitovalor.yaml,Vitovalor,0x20E3,,,,,,1284,1140,402679,ok,
wilo.yaml,WILO,0x0700,,,,,,79,12,6633,ok,
,_VITODATA,,,,,,,1,1,,skipped: no Optolink-reachable datapoints,-
,ecnStatusDataPoint,,,,,,,1,1,,skipped: no Optolink-reachable datapoints,
puffermgm.yaml,puffermgm,0x30FF,,,,,,230,212,91305,ok,
